date,weekdate,SamsungEU_end,SamsungEU_dpp,SamsungEU_start,SamsungEU_high,SamsungEU_low,SamsungEU_abount
17/07/14,4,1979000,-0.40,2000000,2014000,1970000,49669
17/07/17,0,2020000,2.07,1998000,2020000,1993000,38669
17/07/18,1,2001000,-0.94,2015000,2015000,1995000,36025
17/07/19,2,2005000,0.20,1990000,2006000,1970000,45177
17/07/20,3,2021000,0.80,2010000,2025000,1994000,35284
17/07/21,4,2056000,1.73,2024000,2050000,2011000,56922
17/07/24,0,2038000,-0.88,2035000,2050000,2023000,32246
17/07/25,1,2003000,-1.72,2017000,2028000,2000000,30846
17/07/26,2,1978000,-1.25,1990000,1991000,1960000,43231
17/07/27,3,1994000,0.81,1985000,2009000,1969000,29474
17/07/28,4,1920000,-3.71,1993000,1993000,1900000,84712
17/07/31,0,1931000,0.57,1911000,1940000,1868000,37528
17/08/01,1,1922000,-0.47,1930000,1945000,1916000,44445
17/08/02,2,1959000,1.93,1925000,1959000,1924000,27887
17/08/03,3,1877000,-4.19,1959000,1960000,1863000,72665
17/08/04,4,1879000,0.11,1917000,1919000,1877000,30036
17/08/07,0,1894000,0.80,1881000,1902000,1879000,12053
17/08/08,1,1920000,1.37,1915000,1928000,1906000,31710
17/08/09,2,1871000,-2.55,1919000,1919000,1850000,48473
17/08/10,3,1854000,-0.91,1871000,1871000,1825000,39028
17/08/11,4,1800000,-2.91,1835000,1835000,1788000,46077
17/08/14,0,1829000,1.61,1800000,1833000,1800000,30054
17/08/16,2,1901000,3.94,1909000,1909000,1871000,55680
17/08/17,3,1933000,1.68,1929000,1937000,1916000,26608
17/08/18,4,1937000,0.21,1928000,1938000,1897000,14825
17/08/21,0,1922000,-0.77,1938000,1941000,1916000,18236
17/08/22,1,1930000,0.42,1931000,1939000,1922000,13572
17/08/23,2,1957000,1.40,1959000,1959000,1946000,20923
17/08/24,3,1943000,-0.72,1957000,1958000,1944000,22969
17/08/25,4,1902000,-2.11,1943000,1944000,1885000,33949
17/08/28,0,1859000,-2.26,1902000,1914000,1850000,30796
17/08/29,1,1888000,1.56,1859000,1888000,1834000,30846
17/08/30,2,1900000,0.64,1895000,1907000,1888000,11999
17/08/31,3,1885000,-0.79,1900000,1909000,1885000,26647
17/09/01,4,1905000,1.06,1907000,1910000,1886000,14011
17/09/04,0,1880000,-1.31,1880000,1898000,1855000,20939
17/09/05,1,1876000,-0.21,1882000,1893000,1856000,35405
17/09/06,2,1904000,1.49,1865000,1906000,1865000,38046
17/09/07,3,1942000,2.00,1904000,1946000,1904000,27242
17/09/08,4,1980000,1.96,1957000,1986000,1956000,42543
17/09/11,0,2036000,2.83,2015000,2043000,2001000,50587
17/09/12,1,2040000,0.20,2038000,2047000,2007000,31988
17/09/13,2,2035000,-0.25,2040000,2049000,2026000,41643
17/09/14,3,2035000,0.00,2040000,2047000,2015000,34596
17/09/15,4,2045000,0.49,2035000,2045000,2016000,29718
17/09/18,0,2115000,3.42,2054000,2115000,2050000,26524
17/09/19,1,2115000,0.00,2115000,2124000,2098000,37106
17/09/20,2,2125000,0.47,2116000,2128000,2092000,27862
17/09/21,3,2136000,0.52,2125000,2141000,2103000,40462
17/09/22,4,2112000,-1.12,2136000,2144000,2090000,78594
17/09/25,0,2152000,1.89,2120000,2152000,2100000,27381
17/09/26,1,2088000,-2.97,2134000,2140000,2071000,32836
17/09/27,2,2065000,-1.10,2079000,2093000,2064000,36106
17/09/28,3,2058000,-0.34,2081000,2100000,2058000,29863
17/09/29,4,2062000,0.19,2058000,2075000,2054000,31819
17/10/10,1,2105000,2.09,2110000,2146000,2100000,69355
17/10/11,2,2208000,4.89,2132000,2208000,2119000,47010
17/10/12,3,2185000,-1.04,2200000,2210000,2178000,37674
17/10/13,4,2180000,-0.23,2185000,2200000,2158000,34762
17/10/16,0,2160000,-0.92,2165000,2194000,2160000,32937
17/10/17,1,2190000,1.39,2174000,2209000,2171000,25789
17/10/18,2,2186000,-0.18,2200000,2205000,2161000,25149
17/10/19,3,2099000,-3.98,2181000,2184000,2095000,58095
17/10/20,4,2141000,2.00,2114000,2143000,2102000,32350
17/10/23,0,2153000,0.56,2163000,2180000,2153000,21007
17/10/24,1,2173000,0.93,2155000,2183000,2155000,18315
17/10/25,2,2145000,-1.29,2166000,2173000,2140000,26715
17/10/26,3,2067000,-3.64,2143000,2148000,2067000,35721
17/10/27,4,2116000,2.37,2082000,2120000,2069000,31636
17/10/30,0,2135000,0.90,2138000,2156000,2126000,32396
17/10/31,1,2240000,4.92,2135000,2246000,2114000,72304
17/11/01,2,2335000,4.24,2336000,2359000,2301000,58951
17/11/02,3,2329000,-0.26,2348000,2356000,2300000,82838
17/11/03,4,2300000,-1.25,2329000,2334000,2285000,51766
17/11/06,0,2285000,-0.65,2324000,2324000,2261000,63047
17/11/07,1,2282000,-0.13,2288000,2299000,2270000,20847
17/11/08,2,2290000,0.35,2282000,2313000,2271000,29601
17/11/09,3,2281000,-0.39,2290000,2299000,2264000,38788
17/11/10,4,2266000,-0.66,2281000,2285000,2251000,29284
17/11/13,0,2257000,-0.40,2274000,2284000,2253000,24914
17/11/14,1,2225000,-1.42,2257000,2269000,2224000,40123
17/11/15,2,2198000,-1.21,2225000,2234000,2185000,42915
17/11/16,3,2200000,0.09,2197000,2220000,2197000,53973
17/11/17,4,2200000,0.00,2221000,2261000,2200000,54691
17/11/20,0,2205000,0.23,2205000,2217000,2194000,26161
17/11/21,1,2207000,0.09,2205000,2220000,2198000,25252
17/11/22,2,2278000,3.22,2234000,2278000,2231000,39460
17/11/23,3,2240000,-1.67,2275000,2275000,2230000,22373
17/11/24,4,2254000,0.63,2242000,2250000,2223000,19388
17/11/27,0,2137000,-5.19,2252000,2252000,2136000,55388
17/11/28,1,2149000,0.56,2137000,2151000,2082000,47015
17/11/29,2,2130000,-0.88,2149000,2154000,2118000,27028
17/11/30,3,2096000,-1.60,2080000,2096000,2053000,117674
17/12/01,4,2096000,0.00,2096000,2136000,2083000,49211
17/12/04,0,2079000,-0.81,2096000,2119000,2044000,55848
17/12/05,1,2066000,-0.63,2055000,2083000,2045000,26989
17/12/06,2,2002000,-3.10,2079000,2079000,2002000,38134
17/12/07,3,2025000,1.15,2002000,2052000,2002000,51694
17/12/08,4,2075000,2.47,2070000,2088000,2065000,50176
17/12/11,0,2075000,0.00,2107000,2107000,2075000,21375
17/12/12,1,2085000,0.48,2076000,2095000,2076000,29033
17/12/13,2,2056000,-1.39,2085000,2088000,2048000,27282
17/12/14,3,2069000,0.63,2057000,2079000,2057000,36573
17/12/15,4,2027000,-2.03,2069000,2074000,2027000,47924
17/12/18,0,2038000,0.54,2040000,2045000,2010000,27858
17/12/19,1,2060000,1.08,2055000,2077000,2049000,40587
17/12/20,2,2027000,-1.60,2068000,2068000,2027000,30006
17/12/21,3,1956000,-3.50,2027000,2035000,1956000,37236
17/12/22,4,2002000,2.35,1970000,2005000,1965000,29208
17/12/26,1,1958000,-2.20,2003000,2010000,1958000,28542
17/12/27,2,2003000,2.30,1970000,2011000,1970000,18431
17/12/28,3,2090000,4.34,2016000,2090000,2013000,35681
18/01/02,1,2097000,0.33,2096000,2097000,2058000,21940
18/01/03,2,2090000,-0.33,2110000,2131000,2086000,28417
18/01/04,3,2090000,0.00,2112000,2113000,2068000,40025
18/01/05,4,2113000,1.10,2090000,2113000,2081000,28601
18/01/08,0,2103000,-0.47,2105000,2117000,2079000,47789
18/01/09,1,2044000,-2.81,2060000,2085000,2010000,44471
18/01/10,2,1954000,-4.40,2054000,2060000,1954000,66062
