date,weekdate,LGE_RU,LGE_U,LGE_UC,LGE_D,LGE_RD,LGE_end,LGE_start,LGE_high,LGE_low,LGE_abount
17/08/10,3,73700,0,1,0,0,0,71400,74100,71400,1796419
17/08/11,4,73400,0,0,1,0,0,72600,74700,71600,1581856
17/08/14,0,73700,0,0,1,0,0,74200,74700,73000,798565
17/08/16,2,74000,0,0,1,0,0,74000,74500,73100,769023
17/08/17,3,73600,0,0,1,0,0,74000,74200,73000,662603
17/08/18,4,73000,0,0,1,0,0,72600,73300,72000,751321
17/08/21,0,75800,0,1,0,0,0,72800,75900,72800,1159623
17/08/22,1,75700,0,0,1,0,0,76000,76400,75300,697166
17/08/23,2,77500,0,1,0,0,0,76200,78500,76100,1309345
17/08/24,3,77400,0,0,1,0,0,77800,78000,76600,811372
17/08/25,4,77700,0,0,1,0,0,77800,77900,76800,442385
17/08/28,0,76300,0,0,0,1,0,77500,77600,75900,553675
17/08/29,1,74400,0,0,0,1,0,75500,75500,73400,1540731
17/08/30,2,82300,1,0,0,0,0,75500,82400,75200,3932544
17/08/31,3,81500,0,0,1,0,0,82700,82800,80200,1889427
17/09/01,4,83600,0,1,0,0,0,82900,84300,81000,1944745
17/09/04,0,82700,0,0,0,1,0,81700,84100,81600,1508080
17/09/05,1,86500,0,1,0,0,0,83300,87000,83300,2612281
17/09/06,2,85300,0,0,0,1,0,87000,87400,85300,1564911
17/09/07,3,85300,0,0,1,0,0,85900,87100,85000,1268664
17/09/08,4,82500,0,0,0,1,0,85700,85800,82200,1944947
17/09/11,0,83100,0,0,1,0,0,83300,83600,81500,1501501
17/09/12,1,83000,0,0,1,0,0,83800,83900,82400,937921
17/09/13,2,87400,1,0,0,0,0,83800,88500,83700,2808612
17/09/14,3,87900,0,0,1,0,0,87700,88300,86600,1709823
17/09/15,4,89500,0,1,0,0,0,87400,91500,87300,2655625
17/09/18,0,91000,0,1,0,0,0,90800,92300,89800,1506118
17/09/19,1,89000,0,0,0,1,0,91000,91000,88400,1473897
17/09/20,2,86600,0,0,0,1,0,89300,89300,86500,1666502
17/09/21,3,86400,0,0,1,0,0,86600,88400,84700,1397736
17/09/22,4,87400,0,1,0,0,0,86500,88800,85500,1254640
17/09/25,0,84300,0,0,0,1,0,86800,88000,83800,1536892
17/09/26,1,81800,0,0,0,1,0,83500,83700,80700,1607876
17/09/27,2,81200,0,0,1,0,0,82000,83400,81000,973194
17/09/28,3,80100,0,0,0,1,0,81300,81400,78900,1379732
17/09/29,4,82400,0,1,0,0,0,80400,82500,80200,909359
17/10/10,1,80800,0,0,0,1,0,79700,81500,78900,2417240
17/10/11,2,87400,1,0,0,0,0,82100,88000,81800,3091409
17/10/12,3,87900,0,0,1,0,0,87600,91700,87500,2679580
17/10/13,4,88500,0,0,1,0,0,89300,90500,88000,1148910
17/10/16,0,89300,0,0,1,0,0,89400,91700,88800,1370439
17/10/17,1,89800,0,0,1,0,0,88800,90900,87700,1201400
17/10/18,2,90400,0,0,1,0,0,90500,91700,89700,1235889
17/10/19,3,96500,1,0,0,0,0,91500,97500,90600,4384919
17/10/20,4,95300,0,0,0,1,0,96500,96800,94300,1516859
17/10/23,0,97200,0,1,0,0,0,95600,98500,94800,1696409
17/10/24,1,93400,0,0,0,1,0,96900,98200,93400,1526327
17/10/25,2,93900,0,0,1,0,0,94600,95900,92900,1127777
17/10/26,3,92700,0,0,0,1,0,94200,94900,92500,1028083
17/10/27,4,92800,0,0,1,0,0,93500,95500,92100,1312328
17/10/30,0,94800,0,1,0,0,0,93500,95700,92600,1146628
17/10/31,1,91000,0,0,0,1,0,95300,96100,90800,2091668
17/11/01,2,92300,0,1,0,0,0,91100,93400,90600,1413470
17/11/02,3,91600,0,0,1,0,0,92500,94200,90500,1238258
17/11/03,4,92000,0,0,1,0,0,91800,93000,91000,865372
17/11/06,0,93200,0,1,0,0,0,91700,94500,91700,1470396
17/11/07,1,91300,0,0,0,1,0,92900,93500,91000,1081425
17/11/08,2,92400,0,1,0,0,0,91000,92500,90700,740499
17/11/09,3,96000,0,1,0,0,0,92800,97000,92700,2106195
17/11/10,4,94400,0,0,0,1,0,96000,96400,93900,1074369
17/11/13,0,93000,0,0,0,1,0,94400,95200,92400,877548
17/11/14,1,91500,0,0,0,1,0,92500,93000,90300,1235545
17/11/15,2,91300,0,0,1,0,0,92100,92200,90600,850027
17/11/16,3,92200,0,0,1,0,0,91300,92900,90100,884980
17/11/17,4,92600,0,0,1,0,0,93100,93800,92200,750975
17/11/20,0,92200,0,0,1,0,0,93000,93700,92200,617288
17/11/21,1,92900,0,0,1,0,0,92300,93000,90900,705381
17/11/22,2,95900,0,1,0,0,0,92500,96800,92500,1671226
17/11/23,3,94100,0,0,0,1,0,96000,96700,94100,745586
17/11/24,4,93400,0,0,1,0,0,93600,94400,93000,404062
17/11/27,0,92200,0,0,0,1,0,93500,94400,92100,663809
17/11/28,1,91800,0,0,1,0,0,92500,93300,91200,608339
17/11/29,2,91400,0,0,1,0,0,92500,92800,90600,679015
17/11/30,3,90000,0,0,0,1,0,91300,92000,89500,898094
17/12/01,4,93500,0,1,0,0,0,90600,93900,90500,840847
17/12/04,0,94400,0,0,1,0,0,93600,94400,92500,551331
17/12/05,1,94300,0,0,1,0,0,93900,94800,93200,458094
17/12/06,2,93600,0,0,1,0,0,94100,96500,93600,862910
17/12/07,3,96200,0,1,0,0,0,94500,96500,94000,1287867
17/12/08,4,94500,0,0,0,1,0,96000,97200,94200,794868
17/12/11,0,96700,0,1,0,0,0,95900,96800,94800,786713
17/12/12,1,98000,0,1,0,0,0,96000,98700,96000,1318613
17/12/13,2,97900,0,0,1,0,0,98000,98300,96900,723184
17/12/14,3,101500,0,1,0,0,0,97900,104000,97900,2495201
17/12/15,4,105500,0,1,0,0,0,103000,106000,102500,1496469
17/12/18,0,104000,0,0,0,1,0,106500,106500,103000,716415
17/12/19,1,103500,0,0,1,0,0,104500,106000,102500,825856
17/12/20,2,103000,0,0,1,0,0,104000,104500,101500,587992
17/12/21,3,99300,0,0,0,1,0,102500,103000,98400,1115976
17/12/22,4,100000,0,0,1,0,0,100500,101500,99400,591818
17/12/26,1,99200,0,0,1,0,0,101500,102500,99200,934572
17/12/27,2,107000,1,0,0,0,0,101500,107000,101000,1187463
17/12/28,3,106000,0,0,1,0,0,107000,109500,105000,822274
18/01/02,1,109500,0,1,0,0,0,106500,111000,105500,948226
18/01/03,2,109500,0,0,1,0,0,109500,110500,107500,627983
18/01/04,3,106000,0,0,0,1,0,110500,111000,105000,977691
18/01/05,4,111000,0,1,0,0,0,106000,111500,106000,883832
18/01/08,0,105000,0,0,0,0,1,113500,114000,103500,2480029
18/01/09,1,109000,0,1,0,0,0,105000,110000,105000,1387659
18/01/10,2,109000,0,0,1,0,0,109000,111500,107500,909012
18/01/11,3,110500,0,1,0,0,0,110000,111000,108500,791790
18/01/12,4,109500,0,0,1,0,0,110500,111500,107000,823474
18/01/15,0,107000,0,0,0,1,0,109500,110000,106000,695438
18/01/16,1,108000,0,0,1,0,0,106500,108500,105000,555065
18/01/17,2,110500,0,1,0,0,0,108500,113000,108000,815085
18/01/18,3,107500,0,0,0,1,0,112000,112000,107500,503773
18/01/19,4,107500,0,0,1,0,0,107000,109500,106500,533503
18/01/22,0,109000,0,1,0,0,0,108500,109000,106500,469543
18/01/23,1,109500,0,0,1,0,0,107500,110000,103500,1166939
18/01/24,2,102500,0,0,0,0,1,107500,108500,102000,1406328
18/01/25,3,103500,0,0,1,0,0,102500,104500,101000,899675
18/01/26,4,103000,0,0,1,0,0,104500,105500,102500,777285
18/01/29,0,102000,0,0,1,0,0,103000,104000,101000,1031365
18/01/30,1,101000,0,0,1,0,0,101500,103000,100500,735284
18/01/31,2,102500,0,1,0,0,0,100500,103000,100000,804156
18/02/01,3,103500,0,0,1,0,0,103000,104000,101000,860002
18/02/02,4,101000,0,0,0,1,0,103000,103500,99900,975164
18/02/05,0,97700,0,0,0,1,0,99400,99600,97200,745562
18/02/06,1,96100,0,0,0,1,0,94900,96700,93400,1094871
18/02/07,2,96500,0,0,1,0,0,98000,100500,96000,1082264
18/02/08,3,99300,0,1,0,0,0,97200,99700,97100,813467
18/02/09,4,96300,0,0,0,1,0,96500,98200,96200,645790
18/02/12,0,96700,0,0,1,0,0,97300,98300,96400,390757
18/02/13,1,99200,0,1,0,0,0,97400,101000,96500,782907
18/02/14,2,97200,0,0,0,1,0,100000,101000,96900,570366
18/02/19,0,102500,1,0,0,0,0,99400,103000,98900,893618
18/02/20,1,104000,0,1,0,0,0,102500,104500,101500,632252
18/02/21,2,101000,0,0,0,1,0,103500,104000,100000,895703
18/02/22,3,99800,0,0,0,1,0,101500,103000,99200,572286
18/02/23,4,102000,0,1,0,0,0,100000,102000,99000,502137
18/02/26,0,102000,0,0,1,0,0,103000,103000,100500,480011
18/02/27,1,100500,0,0,0,1,0,103000,103500,100500,386397
18/02/28,2,99900,0,0,1,0,0,100000,102500,99900,508365
18/03/02,4,101000,0,1,0,0,0,99400,101500,98000,499607
18/03/05,0,103500,0,1,0,0,0,101500,104500,101500,866063
18/03/06,1,106000,0,1,0,0,0,105000,106000,102500,813711
18/03/07,2,107000,0,0,1,0,0,106500,109000,105000,1125599
